Month,trip,Original trial,trial,Deterrent,Filename,Frame,Time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Shark ID,Bait taken?,Comment,LOI,AT,Reaction
March,3,14,15,Boat01,Left_14_20200326.MP4,21728,6.0416,2674.775,13.279,186.53,3791.763,14.78,24.043,32.064,954.234,158.618,-3666.298,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,M,S,N
March,3,14,15,Boat01,Left_14_20200326.MP4,23434,6.516,1420.399,4.297,126.452,3130.706,7.126,12.797,38.762,46.019,385.649,-3106.522,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,M,S,N
March,3,14,15,Boat01,Left_14_20200326.MP4,37814,10.5144,0,35.039,119.887,4741.31,12.573,0,0,470.533,918.578,-4627.616,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Feeding,Itchy,N,Bait couldn't be computed,H,S,N
March,3,14,15,Boat01,Left_14_20200326.MP4,39560,10.9999,630.559,18.79,111.886,3644.068,12.408,69.405,11.339,75.48,779.349,-3558.953,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,Taken from Pecotral to Bait Line,M,D,N
March,3,14,15,Boat01,Left_14_20200326.MP4,41209,11.4584,3132.9,24.975,48.003,3345.298,4.687,74.644,10.807,262.174,77.422,-3334.11,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,H,D,N
March,3,14,15,Boat01,Left_14_20200326.MP4,42565,11.8354,2078.386,34.773,60.049,4769.984,6.86,69.376,19.81,513.924,245.86,-4735.84,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,H,D,N
March,3,14,15,Boat01,Left_14_20200326.MP4,42899,11.9283,326.079,5.198,48.842,3797.684,1.513,17.946,49.02,74.571,-66.994,-3796.361,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,H,D,N
March,3,14,15,Boat01,Left_14_20200326.MP4,43565,12.1135,2101.013,15.372,224.864,4366.675,10.637,47.335,52.6,637.079,-493.79,-4291.637,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,H,V,N
March,3,14,15,Boat01,Left_14_20200326_1.MP4,1736,12.6549,5231.616,10000.016,37.941,2011.723,5.707,81.628,0.051,190.356,61.5,-2001.752,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,M,D,N
March,3,14,15,Boat01,Left_14_20200326_1.MP4,3896,13.2555,497.692,5.503,90.529,3319.537,9.133,61.872,72.767,-344.599,398.571,-3277.456,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,M,S,N
