trip,trial,det,time,ID,activity,dist,app_type,intent,reaction
4,41,Boat01 80-V,7.032,Marlin,Passing,2280.866,D,M,N
4,41,Boat01 80-V,7.304,Marlin,Passing,1738.577,D,M,N
4,41,Boat01 80-V,7.6234,Marlin,Passing,1871.371,D,M,N
4,41,Boat01 80-V,8.6767,Unknown,Passing,3495.702,V,M,N
4,41,Boat01 80-V,9.2312,Marlin,Passing,1866.713,S,M,N
4,41,Boat01 80-V,9.9213,Marlin,Passing,1269.482,D,M,N
4,41,Boat01 80-V,10.1396,Marlin,Feeding,0,S,H,N
4,41,Boat01 80-V,10.3637,Marlin,Feeding,0,S,H,N
4,42,Control,14.9591,Marlin,Passing,2078.224,D,M,N
4,42,Control,17.5951,Marlin,Feeding,0,D,H,N
4,42,Control,19.0696,Old Tag,Passing,2650.241,D,M,N
4,42,Control,19.6502,Old Tag,Passing,4200.325,D,M,N
4,42,Control,20.3984,Old Tag,Passing,5591.906,D,M,N
4,42,Control,22.4366,Old Tag,Feeding,0,V,H,N
4,43,Boat01 80-V,13.7245,Marlin,Passing,11601.652,S,M,N
4,43,Boat01 80-V,13.8694,Marlin,Feeding,0,S,H,N
4,44,Boat01 80-V,41.4208,Maeve,Feeding,0,D,H,N
4,44,Boat01 80-V,41.7384,Maeve,Passing,2171.235,D,M,N
4,44,Boat01 80-V,42.002,Maeve,Passing,2731.188,D,M,N
4,44,Boat01 80-V,42.2514,Maeve,Passing,2438.368,D,M,N
4,44,Boat01 80-V,42.6084,Maeve,Passing,9744.665,D,M,N
4,44,Boat01 80-V,43.7312,Maeve,Passing,1503.257,D,H,N
4,44,Boat01 80-V,43.9461,Maeve,Passing,1046.648,D,M,N
4,44,Boat01 80-V,44.4892,Maeve,Feeding,0,S,H,N
4,45,Control,5.6504,Maeve,Feeding,0,S,H,N
4,46,Boat01 80-V,5.704,Old Tag,Feeding,0,S,H,N
4,46,Boat01 80-V,6.1292,Old Tag,Passing,2411.22,S,M,N
4,46,Boat01 80-V,12.022,Old Tag,Passing,7223.637,D,M,N
4,46,Boat01 80-V,12.8673,Old Tag,Passing,1137.303,D,M,N
4,46,Boat01 80-V,14.5837,Maeve,Passing,5995.529,S,M,N
4,47,Control,7.3982,Old Tag,Feeding,0,D,H,N
4,48,Control,12.6318,Old Tag,Passing,1895.705,S,M,N
4,48,Control,13.459,Old Tag,Passing,1811.001,S,M,N
4,48,Control,17.1363,Old Tag,Passing,6029.805,S,M,N
4,48,Control,18.5855,Old Tag,Passing,1519.579,S,M,N
4,48,Control,20.4568,Old Tag,Passing,7820.023,S,M,N
4,48,Control,21.333,Unknown,Passing,7225.728,D,M,N
4,48,Control,22.1151,Unknown,Passing,7026.129,D,M,N
4,49,Control,15.1412,New Tagged,Feeding,0,D,H,N
4,50,Boat01 80-V,22.5928,New Tagged,Passing,1938.967,D,M,N
4,50,Boat01 80-V,23.9336,New Tagged,Passing,1906.388,D,M,N
4,50,Boat01 80-V,25.4988,New Tagged,Passing,3681.172,D,M,N
4,51,Control,8.6158,Scar Face,Passing,1845.115,S,M,N
4,51,Control,11.2835,Scar Face,Passing,3197.027,D,M,N
